id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
f2dc13eb,97,Yann Batola,FRA,GK,Rennes,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,UEL,23-24
e4edafab,98,Mika Baur,GER,MF,Freiburg,19,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,UEL,23-24
a74ea18d,99,Toral Bayramov,AZE,"DF,FW",Qarabağ,22,2001,10,335,34,36.0,3.7,2,90,2,8,19,0,1.71,8,18,-10,-2.69,-3.9,5.8,10.3,-4.5,-1.33,-1.02,Matches,UEL,23-24
ec11ecf8,100,Chris Bedia,CIV,FW,Servette FC,27,1996,6,397,66,73.5,4.4,5,74,1,1,27,0,0.83,3,13,-10,-2.27,-2.9,4.0,8.3,-4.3,-0.97,-1.65,Matches,UEL,23-24
530e7d85,101,Thomas Beelen,NED,DF,Feyenoord,22,2001,2,210,105,100.0,2.3,2,105,2,0,,0,1.0,2,2,0,0.0,,2.0,2.1,-0.1,-0.07,-0.07,Matches,UEL,23-24
5e6355f8,102,Yanis Begraoui,MAR,"FW,MF",Toulouse,22,2001,3,34,11,4.7,0.4,0,,0,3,11,3,1.33,0,1,-1,-2.65,-2.52,1.1,0.4,0.7,1.89,2.79,Matches,UEL,23-24
f874dd44,103,Héctor Bellerín,ESP,DF,Betis,28,1995,3,177,59,32.8,2.0,2,86,1,1,6,3,1.0,2,4,-2,-1.02,-2.01,2.3,4.0,-1.7,-0.86,-1.86,Matches,UEL,23-24
aca0a525,104,George Bello,USA,"MF,DF",LASK,21,2002,6,359,60,66.5,4.0,5,71,1,1,3,0,0.5,4,6,-2,-0.5,1.49,5.5,5.9,-0.4,-0.1,1.73,Matches,UEL,23-24
c678ddd7,105,Jeanuël Belocian,FRA,DF,Rennes,18,2005,3,190,63,26.4,2.1,3,63,1,0,,4,2.0,4,3,1,0.47,-0.21,1.8,4.6,-2.9,-1.36,-2.2,Matches,UEL,23-24
d705ba44,106,Andrea Belotti,ITA,FW,Roma,29,1993,6,271,45,21.0,3.0,3,76,1,3,14,0,2.17,6,1,5,1.66,1.13,5.7,2.6,3.1,1.02,0.99,Matches,UEL,23-24
25cde772,107,Leo Bengtsson,SWE,"FW,MF",Aris Limassol FC,25,1998,6,458,76,84.8,5.1,5,83,1,1,45,0,0.88,6,11,-5,-0.98,0.12,6.6,8.7,-2.1,-0.41,0.93,Matches,UEL,23-24
db092d3b,108,Ismaël Bennacer,ALG,MF,Milan,25,1997,5,183,37,33.9,2.0,3,52,0,2,13,1,1.2,3,5,-2,-0.98,-2.5,3.9,3.8,0.2,0.09,-1.06,Matches,UEL,23-24
5a04fd92,109,Saïd Benrahma,ALG,"FW,MF",West Ham,27,1995,5,307,61,34.1,3.4,4,74,1,1,11,1,2.4,4,3,1,0.29,-0.77,4.6,2.0,2.6,0.76,0.65,Matches,UEL,23-24
6fbde63a,110,Yassine Benzia,ALG,MF,Qarabağ,28,1994,10,717,72,77.1,8.0,9,75,0,1,45,0,1.71,12,4,8,1.0,5.23,9.0,9.1,-0.1,-0.02,2.75,Matches,UEL,23-24
b8103669,111,Gustav Berggren,SWE,MF,RKS Raków,25,1997,6,437,73,80.9,4.9,5,84,3,1,16,0,0.67,3,9,-6,-1.24,-0.36,6.8,9.4,-2.6,-0.53,1.29,Matches,UEL,23-24
