id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,league,season
bd6351cd,81,João Cancelo,POR,DF,Manchester City,28,1994,14.2,39,2.76,30,0,2,5,1,1,6,0.42,5,0,1,0,0,0,Matches,ENG-EPL,22-23
4506aec5,82,Thomas Cannon,IRL,FW,Everton,19,2002,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
1137759d,83,Sergi Canós,ESP,"FW,DF",Brentford,25,1997,0.9,3,3.51,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
b4a014b1,84,Diego Carlos,BRA,DF,Aston Villa,29,1993,2.3,3,1.32,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
966e28d0,85,Fabio Carvalho,POR,"MF,FW",Liverpool,19,2002,3.9,9,2.33,5,0,0,2,2,0,2,0.52,1,0,0,1,0,0,Matches,ENG-EPL,22-23
4d224fe8,86,Casemiro,BRA,MF,Manchester Utd,30,1992,23.6,68,2.88,61,0,0,5,2,0,8,0.34,8,0,0,0,0,0,Matches,ENG-EPL,22-23
2389cdc2,87,Matty Cash,POL,DF,Aston Villa,24,1997,20.2,28,1.38,25,0,1,0,1,1,3,0.15,2,0,0,0,0,1,Matches,ENG-EPL,22-23
197640fd,88,Timothy Castagne,BEL,DF,Leicester City,26,1995,36.2,51,1.41,44,2,1,2,1,1,5,0.14,4,0,0,1,0,0,Matches,ENG-EPL,22-23
e28868f3,89,Jonny Castro,ESP,DF,Wolves,28,1994,14.0,24,1.71,20,0,0,0,3,1,1,0.07,1,0,0,0,0,0,Matches,ENG-EPL,22-23
422862ea,90,Nathaniel Chalobah,ENG,MF,Fulham,27,1994,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
5515376c,91,Trevoh Chalobah,ENG,DF,Chelsea,23,1999,17.9,16,0.9,11,0,1,2,2,0,3,0.17,3,0,0,0,0,0,Matches,ENG-EPL,22-23
dc6f5bdd,92,Calum Chambers,ENG,"DF,MF",Aston Villa,27,1995,3.9,6,1.53,5,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
5cc3ce65,93,Shea Charles,NIR,DF,Manchester City,18,2003,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
d2424d1b,94,Ben Chilwell,ENG,"DF,MF",Chelsea,25,1996,15.6,39,2.49,19,17,0,1,2,0,4,0.26,2,1,0,0,1,0,Matches,ENG-EPL,22-23
26ce2263,95,Ryan Christie,SCO,"MF,FW",Bournemouth,27,1995,20.4,66,3.24,48,5,5,5,3,0,4,0.2,3,0,0,1,0,0,Matches,ENG-EPL,22-23
b2f9c73e,96,Carney Chukwuemeka,ENG,"MF,FW",Chelsea,18,2003,3.9,16,4.07,13,0,0,1,0,2,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
73341ace,97,Bobby Clark,ENG,MF,Liverpool,17,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
0442183b,98,Nathaniel Clyne,ENG,DF,Crystal Palace,31,1991,18.2,18,0.99,16,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
2928dca2,99,Conor Coady,ENG,DF,Everton,29,1993,23.3,16,0.69,14,0,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches,ENG-EPL,22-23
963a9201,100,Jack Colback,ENG,MF,Nott'ham Forest,32,1989,5.5,3,0.54,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
0420d84f,101,Séamus Coleman,IRL,DF,Everton,33,1988,18.4,21,1.14,15,1,1,1,3,0,2,0.11,2,0,0,0,0,0,Matches,ENG-EPL,22-23
a8c19eb8,102,Nathan Collins,IRL,DF,Wolves,21,2001,20.2,10,0.5,7,0,1,0,2,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
700783e7,103,Levi Colwill,ENG,DF,Brighton,19,2003,13.6,18,1.33,16,1,0,1,0,0,2,0.15,2,0,0,0,0,0,Matches,ENG-EPL,22-23
2afc7272,104,Lewis Cook,ENG,MF,Bournemouth,25,1997,19.1,39,2.04,27,8,0,0,1,3,4,0.21,2,1,0,0,0,1,Matches,ENG-EPL,22-23
3e5e4e63,105,Steve Cook,ENG,DF,Nott'ham Forest,31,1991,10.6,6,0.56,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
dc64b8b3,106,Liam Cooper,SCO,DF,Leeds United,30,1991,15.8,16,1.01,13,1,0,2,0,0,3,0.19,3,0,0,0,0,0,Matches,ENG-EPL,22-23
beb391dd,107,Maxwel Cornet,CIV,FW,West Ham,25,1996,2.7,6,2.23,4,0,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
a190d597,108,Diego Costa,ESP,FW,Wolves,33,1988,13.8,23,1.67,15,0,3,3,2,0,1,0.07,1,0,0,0,0,0,Matches,ENG-EPL,22-23
fdf3cb77,109,Vladimír Coufal,CZE,DF,West Ham,29,1992,23.7,52,2.19,36,13,0,1,2,0,3,0.13,2,1,0,0,0,0,Matches,ENG-EPL,22-23
