id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,league,season
a36084cd,93,Gianmarco Cangiano,ITA,"FW,MF",Bologna,17,2001,0.2,0,0,0,1,1,0,1,1,1,0,0,0,3,1,2,33.3,Matches,ITA-SERIA_A,19-20
54e53b7e,94,Gianluca Caprari,ITA,"FW,MF",Sampdoria,26,1993,7.4,4,1,1,10,13,2,25,7,7,0,0,0,30,0,16,0.0,Matches,ITA-SERIA_A,19-20
54e53b7e,95,Gianluca Caprari,ITA,"FW,MF",Parma,26,1993,6.5,1,0,0,6,16,2,22,4,1,0,0,0,31,2,6,25.0,Matches,ITA-SERIA_A,19-20
5bd72174,96,Francesco Caputo,ITA,FW,Sassuolo,31,1987,32.6,3,0,0,24,47,23,9,1,4,0,0,0,60,16,34,32.0,Matches,ITA-SERIA_A,19-20
f7e2af2c,97,Andrea Carboni,ITA,DF,Cagliari,18,2001,4.1,5,2,1,7,2,0,2,7,4,0,1,0,14,7,2,77.8,Matches,ITA-SERIA_A,19-20
96960855,98,Francesco Cassata,ITA,MF,Genoa,22,1997,16.2,11,2,1,46,26,1,27,11,10,1,0,0,95,12,14,46.2,Matches,ITA-SERIA_A,19-20
197640fd,99,Timothy Castagne,BEL,DF,Atalanta,23,1995,19.7,4,0,0,18,8,5,60,17,20,1,0,0,95,27,19,58.7,Matches,ITA-SERIA_A,19-20
130a7a3f,100,Samu Castillejo,ESP,"FW,MF",Milan,24,1995,13.4,3,1,0,14,21,7,71,24,15,0,0,0,78,14,31,31.1,Matches,ITA-SERIA_A,19-20
56b2957b,101,Lucas Castro,ARG,MF,SPAL,30,1989,4.7,0,0,0,8,4,0,3,2,5,0,0,0,18,6,3,66.7,Matches,ITA-SERIA_A,19-20
56b2957b,102,Lucas Castro,ARG,MF,Cagliari,30,1989,6.7,2,0,0,15,6,1,20,8,3,0,0,0,34,6,8,42.9,Matches,ITA-SERIA_A,19-20
0728bebe,103,Gaetano Castrovilli,ITA,MF,Fiorentina,22,1997,29.7,10,0,0,65,78,0,38,15,31,1,2,0,195,22,44,33.3,Matches,ITA-SERIA_A,19-20
ba3d3bea,104,Danilo Cataldi,ITA,MF,Lazio,24,1994,6.6,3,0,0,5,2,0,35,13,11,0,0,0,60,4,3,57.1,Matches,ITA-SERIA_A,19-20
d9624b51,105,Federico Ceccherini,ITA,DF,Fiorentina,27,1992,9.3,3,0,0,9,14,0,0,13,8,0,1,0,59,25,14,64.1,Matches,ITA-SERIA_A,19-20
d2fd20d6,106,Christian Celesia,ITA,DF,Torino,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,ITA-SERIA_A,19-20
7d50454d,107,Luca Ceppitelli,ITA,DF,Cagliari,29,1989,13.8,5,0,0,8,9,0,4,23,15,0,0,1,46,37,31,54.4,Matches,ITA-SERIA_A,19-20
1079c685,108,Alberto Cerri,ITA,FW,SPAL,23,1996,4.7,1,0,0,8,6,2,2,0,1,0,0,0,6,23,15,60.5,Matches,ITA-SERIA_A,19-20
