id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,league,season
928a4a61,92,Jens Cajuste,SWE,MF,Midtjylland,20,1999,3.6,147,4,38,89,25,7,147,17,15,88.2,2,11.8,73,528,335,9,4,2,5,2,76,1,Matches,UCL,20-21
ac7e640b,93,Mattia Caldara,ITA,MF,Atalanta,26,1994,0.1,6,0,2,3,1,0,6,0,0,,0,,2,8,2,0,0,0,0,0,4,0,Matches,UCL,20-21
94f8d10c,94,Duje Ćaleta-Car,CRO,DF,Marseille,23,1996,4.0,288,36,159,123,8,4,288,0,0,,0,,181,812,453,5,1,0,1,0,208,0,Matches,UCL,20-21
13ea2544,95,Mohamed Camara,GUI,MF,Olympiacos,23,1997,3.2,173,3,42,108,25,2,173,6,4,66.7,2,33.3,98,596,252,7,4,0,5,4,124,5,Matches,UCL,20-21
489e80e3,96,Mohamed Camara,MLI,MF,RB Salzburg,20,2000,4.6,317,6,82,212,26,1,317,7,6,85.7,1,14.3,173,708,324,3,2,0,5,8,199,3,Matches,UCL,20-21
7b9c2d84,97,Eduardo Camavinga,FRA,MF,Rennes,17,2002,3.6,211,6,35,128,51,5,211,14,11,78.6,3,21.4,123,862,386,9,6,2,6,7,159,6,Matches,UCL,20-21
873619c6,98,Sergio Camello,ESP,FW,Atlético Madrid,19,2001,0.1,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,1,0,0,0,Matches,UCL,20-21
a65ce836,99,Emre Can,GER,"MF,DF",Dortmund,26,1994,5.2,251,43,123,108,25,1,251,7,6,85.7,1,14.3,146,829,434,6,5,0,0,2,160,4,Matches,UCL,20-21
bd6351cd,100,João Cancelo,POR,DF,Manchester City,26,1994,6.7,705,7,87,441,180,14,705,31,17,54.8,14,45.2,402,1660,775,13,16,4,5,4,499,37,Matches,UCL,20-21
b4a014b1,101,Diego Carlos,BRA,DF,Sevilla,27,1993,8.0,686,75,295,365,28,17,686,0,0,,0,,394,1808,886,2,3,0,5,1,514,1,Matches,UCL,20-21
de39485a,102,Yannick Carrasco,BEL,"MF,DF",Atlético Madrid,26,1993,4.2,233,5,37,79,122,17,233,19,8,42.1,11,57.9,124,934,534,23,13,7,11,5,161,33,Matches,UCL,20-21
4958bfb2,103,Dani Carvajal,ESP,DF,Real Madrid,28,1992,1.8,154,5,43,69,42,3,154,1,1,100.0,0,0.0,83,321,182,5,2,1,1,1,117,10,Matches,UCL,20-21
4d224fe8,104,Casemiro,BRA,MF,Real Madrid,28,1992,9.2,748,33,200,452,104,16,748,2,2,100.0,0,0.0,366,1204,523,2,5,0,7,5,512,14,Matches,UCL,20-21
ba3d3bea,105,Danilo Cataldi,ITA,MF,Lazio,25,1994,1.0,76,3,22,45,9,0,76,0,0,,0,,32,210,100,3,0,0,1,0,51,0,Matches,UCL,20-21
527f063d,106,Edinson Cavani,URU,FW,Manchester Utd,33,1987,2.3,73,0,7,27,39,5,73,2,2,100.0,0,0.0,33,145,46,2,0,0,7,2,55,10,Matches,UCL,20-21
10fe831e,107,Murilo Cerqueira,BRA,DF,Loko Moscow,23,1997,5.0,279,67,169,102,9,3,279,4,3,75.0,1,25.0,133,678,291,1,1,0,6,1,148,2,Matches,UCL,20-21
5b54bf3b,108,Nacer Chadli,BEL,MF,Başakşehir,30,1989,1.3,66,0,10,34,23,3,66,4,1,25.0,3,75.0,38,252,115,2,3,1,2,3,43,4,Matches,UCL,20-21
15975a3c,109,Yevgeni Chernov,RUS,DF,Krasnodar,27,1992,3.2,148,13,58,44,47,5,148,3,3,100.0,0,0.0,64,347,192,9,3,0,7,3,71,13,Matches,UCL,20-21
e85fb9b8,110,Giorgio Chiellini,ITA,DF,Juventus,35,1984,1.6,177,12,72,102,3,2,177,0,0,,0,,132,651,344,0,0,0,0,0,142,1,Matches,UCL,20-21
b0f7e36c,111,Federico Chiesa,ITA,"MF,FW",Juventus,22,1997,6.1,286,3,33,90,165,36,286,24,8,33.3,16,66.7,189,1214,681,31,17,15,9,5,211,67,Matches,UCL,20-21
d2424d1b,112,Ben Chilwell,ENG,"DF,FW",Chelsea,23,1996,8.6,629,26,184,265,185,20,629,11,4,36.4,7,63.6,331,1442,793,14,16,3,13,10,384,58,Matches,UCL,20-21
